cv;label
"I was a pure researcher in bio-inspired robotics, now a consultant and developer on data science and machine learning.

Services offered and technologies used:
* Dashboard / Visualization * in Javascript: D3, React
* Pipeline / ETL / cleaning * in Python: Pandas, Luigi
* Web app / REST API / Microservice * in Python: Django
* Machine learning * in Python: Scikit-learn, Tensorflow (Keras), Pytorch
* Training * for all of the above

Available as contractor internationally for 1-10 months periods.
Currently based in Rome, Italy

Contact me:
Portfolio: http://pieroit.org/ ";1
"Strong experience in the Mathematical field and machine learning. Certified skills in the IT world from programming to BigData world, strong ability to adapt to different problems and capacity to quickly learn the business rules.

Organizer of Machine Learning/Data Science Meetup of Rome:

https://www.meetup.com/it-IT/Machine-Learning-Data-Science-Meetup/

Mentor di Machine Learning presso il Global AI Hackaton, in Rome.

Co-Founder of Italian Association for Machine Learnig:

https://www.iaml.it";1
"Owner and founder of the firm A & P - Andreoli & Partners Law Firm Tax is a tax law firm multisectoral (civil, criminal, administrative, fiscal, tax, and advisory work) with headquarters in Campania or Naples and Aversa and logistics facilities in Rome , Milan, London and references in Lugano, Monaco, Germany and Algiers.
First counsel to all the Superior Courts

Italian lawyer provides independent legal advice in the following areas:

• Business & Full Legal Service
• Corporate & Commercial Law and Business Services
• Civil and Commercial Litigation
• Family Law
• International Property
• Banking Law
• Brand Protection
• Private Client and Tax Planning
• Business and Property Law
• Taxation and Inheritance matters

Specializations: • Business & Full Legal Service
• Corporate & Commercial Law and Business Services
• Civil and Commercial Litigation
• Family Law
• International Property
• Banking Law
• Brand Protection
• Private Client and Tax Planning
• Business and Property Law
• Taxation and Inheritance matters ";0
"Luca Naso has a PhD in Astrophysics and is passionate about Data Science, Machine Learning, Big Data and Startups. That's why he works as Product Development Manager and Data Scientist at Neodata, and has previously worked as Mentor for TIM #Wcap Accelerator (the largest Italian corporate startup accelerator).

He loves new digital technologies, supports the data-driven approach and believes that a smart use of data can dramatically improve the quality of people's everyday life.

Main competencies:
- Project management, Team management, Agile methodology (Scrum), Product development, R&D;
- Machine Learning, Mathematical modelling, Statistics, Regression, Classification, Clustering, Data mining, Data visualisation, Dashboard design;
- Python, R, Hadoop, Hive, SQL, Parallel computing, Amazon, AWS, Lambda, Microsoft, Excel, Azure, HDInsight, Tableau;
- Analytic skills, Problem-solving, Communication skills, Teaching;
- Startups, Business model development, Lean methodology.

As a scientist:
- Magnetic field in proto neutron-stars, magnetic field in accretion discs, magnetic torques in X-Ray binaries;
- Star-disc interaction in galactic centres;
- Writing parallel codes for solving systems of partial differential equations, running codes on High-Performance Computing architectures. ";1
professional abilities available are concerned with the advisory tasks and judicial defence in issues of international and European laws. My aim is to share in a team of experienced professionals dealing with international law, corporate or person counseling and their defense to Court. (Criminal proceedings);0
Data science, machine learning, data extraction, text mining, R, Python ;1
25 years experience in software development, 10 out of which in managing and creating talented teams. Deeply committed to the product success. Lately actively interested in machine learning and data science. For many years, an active contributor in various technical communities: Ugidotnet, Guisa, Ronua, Papers we love. ;1
private exploration and use of outer space for the benefit of mankind. OPINIONS ARE MY OWN. ;0
"Christopher Elliott is an award-winning consumer advocate, multimedia journalist and customer service expert known for his practical advice and creative solutions to customer-service problems. 

He’s the author of ""Scammed: How to Save Your Money and Find Better Service in a World of Schemes, Swindles, and Shady Deals"" (Wiley), a manifesto for empowering consumers and encouraging corporate responsibility, and ""How to Be the World's Smartest Traveler (and Save Time, Money, and Hassle)"" (National Geographic Books/Random House), the definitive manual for having a better trip.

Elliott is a nationally syndicated columnist through King Features Syndicate, which distributes his work to publications from the Seattle Times to the Miami Herald.

He writes a weekly column for The Washington Post and USA Today. Elliott is the co-founder of Travelers United, a Washington-based advocacy group for travelers.

Before he became an independent writer, Elliott worked for Dow Jones & Co., where he frequently wrote about the stock market and initial public offerings for The Wall Street Journal. He also served as a section editor for Travel Weekly, a travel trade publication.

He completed seven editorial internships, including stints at the Los Angeles Times, The Dallas Morning News and Reuters.

Elliott is a 1990 graduate of the University of California at Irvine, where he majored in humanities. He earned a Master of Journalism degree in 1991 at the University of California at Berkeley and was awarded a Fulbright Scholarship in 1996. He's the American Society of Travel Agents' 2016 Journalist of the Year, the first time a consumer advocate and non-trade journalist has ever been given that award. ";0
"I am a Data Scientist with a passion for technology and innovation. I have a proven and in depth experience of the entire data analysis process. I have worked with data from different fields of applications and I am fluent with many analytical tools. 

I am open-minded, team oriented and an excellent communicator, always ready to learn something new and interesting! ";1
